policy_age_days,policy_type,customer_age,claim_amount,insured_amount,premium_amount,previous_claims,claim_type,incident_type,incident_severity,witness_present,police_report,claim_submission_delay,property_damage,bodily_injuries,vehicles_involved,state,claim_month,fraud_reported
3449,Commercial,41,114931.33,500000,4288.93,0,Collision,Multi-Vehicle Collision,Major,Yes,Yes,11,Yes,0,2,IL,October,0
3176,Auto,61,4339.23,25000,418.78,0,Collision,Single Vehicle Collision,Minor,No,Yes,0,No,0,1,TX,May,0
2924,Auto,30,14888.69,25000,372.2,0,Fire,Fire,Minor,No,Yes,0,Yes,0,0,CA,February,0
135,Home,39,98626.32,250000,2189.98,0,Collision,Multi-Vehicle Collision,Major,No,Yes,1,No,0,3,IL,January,1
1690,Commercial,60,44549.76,50000,624.34,4,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,8,No,0,2,TX,June,1
3385,Home,54,113749.11,250000,2211.38,1,Collision,Single Vehicle Collision,Minor,No,Yes,6,No,1,1,TX,November,0
774,Home,78,71546.78,250000,2228.91,1,Fire,Water Damage,Total Loss,Yes,No,1,Yes,1,0,TX,February,0
2396,Auto,50,1290.0,10000,298.85,0,Collision,Multi-Vehicle Collision,Total Loss,Yes,Yes,0,Yes,1,4,IL,September,0
1520,Home,73,89492.96,250000,2187.37,1,Collision,Multi-Vehicle Collision,Total Loss,No,No,3,No,0,3,CA,September,1
3490,Auto,20,49567.06,50000,573.21,1,Fire,Fire,Major,No,Yes,1,Yes,1,0,FL,January,1
2858,Auto,71,17960.86,50000,570.52,1,Collision,Multi-Vehicle Collision,Minor,No,No,6,No,0,4,FL,May,1
2438,Auto,36,31891.59,100000,953.74,0,Collision,Multi-Vehicle Collision,Total Loss,No,No,2,No,0,2,IL,August,0
1220,Home,40,92453.68,250000,2145.89,0,Theft,Theft,Minor,No,No,5,Yes,2,0,IL,April,1
960,Auto,46,3198.2,10000,371.92,2,Collision,Multi-Vehicle Collision,Minor,Yes,No,8,No,0,3,NY,March,1
2329,Auto,47,11548.36,50000,606.24,1,Theft,Theft,Major,Yes,Yes,3,No,1,0,CA,May,0
1189,Home,56,19323.52,100000,992.23,1,Collision,Single Vehicle Collision,Minor,No,Yes,1,No,3,1,TX,May,1
464,Auto,61,18161.46,100000,975.21,1,Fire,Water Damage,Major,Yes,Yes,6,Yes,0,0,TX,August,0
3390,Home,64,13389.9,100000,1021.44,0,Fire,Water Damage,Minor,Yes,Yes,1,Yes,0,0,FL,June,0
26,Auto,42,23585.35,25000,460.18,1,Collision,Single Vehicle Collision,Minor,No,Yes,9,Yes,0,1,IL,February,1
2305,Auto,54,3154.03,25000,436.16,0,Collision,Single Vehicle Collision,Major,No,Yes,0,Yes,0,1,CA,November,1
752,Home,64,23155.04,50000,646.08,1,Fire,Fire,Minor,No,Yes,8,Yes,1,0,FL,January,0
2909,Auto,25,101679.67,250000,2170.67,5,Collision,Multi-Vehicle Collision,Minor,No,No,0,No,1,3,CA,March,1
3637,Auto,59,7250.93,25000,399.79,1,Collision,Multi-Vehicle Collision,Minor,No,No,0,Yes,0,2,IL,February,0
479,Auto,75,7102.91,25000,371.33,0,Theft,Theft,Minor,No,Yes,2,Yes,0,0,TX,April,0
1087,Auto,33,545298.01,500000,4205.35,0,Theft,Theft,Minor,No,Yes,14,Yes,4,0,NY,March,1
2563,Commercial,25,3124.87,10000,343.63,1,Theft,Theft,Total Loss,No,No,18,Yes,0,0,CA,September,0
2052,Auto,18,118380.57,500000,4221.97,2,Collision,Single Vehicle Collision,Minor,No,Yes,1,Yes,0,1,TX,May,1
3552,Commercial,61,11883.4,100000,1081.34,1,Collision,Multi-Vehicle Collision,Total Loss,Yes,Yes,0,No,0,4,CA,April,0
2752,Auto,22,113625.72,250000,2185.57,1,Fire,Fire,Minor,No,Yes,1,No,1,0,CA,October,0
980,Home,20,8593.48,25000,359.65,0,Theft,Theft,Minor,Yes,Yes,1,Yes,0,0,CA,September,0
1811,Home,18,3276.7,10000,305.61,1,Theft,Theft,Minor,No,Yes,6,Yes,0,0,IL,April,0
194,Home,21,51399.58,100000,1005.94,1,Fire,Fire,Minor,No,No,2,No,1,0,FL,June,1
3010,Auto,57,49670.38,250000,2216.14,3,Theft,Theft,Minor,Yes,Yes,6,Yes,1,0,CA,October,1
2739,Auto,52,15305.6,100000,1008.66,0,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,6,Yes,0,3,IL,January,0
3010,Auto,49,10434.19,25000,375.78,1,Theft,Theft,Minor,No,No,3,No,0,0,NY,February,0
567,Commercial,59,59977.54,100000,1009.79,0,Collision,Single Vehicle Collision,Minor,No,No,8,No,0,1,FL,April,1
1904,Commercial,51,57335.51,100000,1048.67,1,Collision,Single Vehicle Collision,Major,No,Yes,0,No,0,1,IL,September,0
3643,Commercial,60,52339.0,100000,1053.81,2,Collision,Multi-Vehicle Collision,Total Loss,No,No,0,No,0,3,NY,June,1
1272,Auto,42,30717.28,100000,975.52,0,Theft,Theft,Minor,No,No,6,No,0,0,FL,June,0
2884,Home,27,117678.08,250000,2211.55,0,Fire,Water Damage,Major,No,No,1,No,0,0,IL,November,1
1533,Commercial,38,1523.26,100000,1073.86,1,Collision,Single Vehicle Collision,Major,Yes,No,0,No,0,1,NY,September,1
3207,Auto,63,5446.63,10000,256.61,1,Collision,Single Vehicle Collision,Minor,Yes,No,10,Yes,3,1,IL,December,0
3561,Auto,56,8003.98,50000,567.53,0,Collision,Single Vehicle Collision,Total Loss,No,Yes,4,No,0,1,NY,April,0
651,Home,44,977.22,10000,319.72,0,Theft,Theft,Total Loss,No,No,2,Yes,0,0,CA,March,1
2073,Home,44,12585.93,50000,630.95,1,Theft,Theft,Minor,Yes,No,5,Yes,0,0,CA,July,1
2893,Commercial,19,9275.7,50000,558.15,2,Collision,Single Vehicle Collision,Major,No,Yes,1,No,0,1,FL,December,0
2219,Auto,58,2169.95,10000,210.03,0,Theft,Theft,Major,No,Yes,13,No,2,0,NY,July,0
1302,Home,65,5763.36,50000,610.58,2,Collision,Multi-Vehicle Collision,Minor,No,No,0,No,0,3,CA,September,0
2440,Auto,30,8078.19,25000,379.07,0,Collision,Multi-Vehicle Collision,Minor,No,No,4,Yes,2,3,FL,June,1
605,Auto,26,21763.29,250000,2115.8,0,Collision,Single Vehicle Collision,Total Loss,No,Yes,6,No,0,1,TX,February,1
2368,Auto,69,42183.95,250000,2165.64,0,Fire,Water Damage,Major,Yes,Yes,2,No,2,0,CA,June,0
2066,Commercial,53,1400.3,10000,310.13,2,Collision,Single Vehicle Collision,Minor,Yes,No,6,Yes,0,1,CA,August,0
246,Home,39,68406.31,500000,4192.43,0,Theft,Theft,Minor,No,Yes,11,No,0,0,IL,June,1
2046,Home,59,17291.61,50000,678.31,1,Collision,Multi-Vehicle Collision,Total Loss,No,Yes,6,Yes,0,3,TX,September,0
2829,Auto,43,3799.67,25000,295.64,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,1,Yes,0,2,NY,April,1
3422,Commercial,75,7803.07,10000,346.9,5,Collision,Multi-Vehicle Collision,Major,No,Yes,3,Yes,0,3,FL,March,1
2617,Auto,71,6722.61,50000,582.8,2,Collision,Single Vehicle Collision,Minor,No,No,10,Yes,0,1,TX,November,0
2950,Commercial,29,8032.62,100000,975.58,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,2,No,1,4,NY,May,0
1368,Auto,34,11759.52,100000,922.44,2,Theft,Theft,Minor,Yes,Yes,5,Yes,0,0,CA,March,0
2144,Auto,31,2558.56,10000,303.25,1,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,2,No,0,3,FL,November,0
1395,Auto,31,666.2,10000,188.66,2,Theft,Theft,Minor,No,Yes,0,Yes,0,0,FL,December,0
3008,Auto,74,18034.53,50000,640.9,0,Collision,Multi-Vehicle Collision,Major,No,No,0,No,1,2,TX,February,1
1483,Home,51,4772.72,25000,324.33,0,Collision,Multi-Vehicle Collision,Major,No,Yes,13,No,0,2,IL,February,0
3504,Home,70,4705.23,25000,332.21,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,4,Yes,0,4,NY,April,0
2561,Auto,74,11640.67,25000,340.44,0,Fire,Water Damage,Major,No,Yes,0,No,0,0,TX,March,0
780,Commercial,37,31323.47,250000,2164.2,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,8,No,2,3,IL,September,0
39,Auto,28,27028.78,250000,2247.1,1,Collision,Multi-Vehicle Collision,Minor,No,No,3,No,1,4,IL,July,0
2258,Home,33,14161.33,50000,675.2,0,Fire,Water Damage,Minor,No,Yes,6,No,0,0,IL,June,0
3157,Commercial,68,48148.19,250000,2169.37,1,Collision,Multi-Vehicle Collision,Minor,Yes,No,0,No,0,4,FL,October,0
1960,Home,48,12706.85,50000,597.67,0,Theft,Theft,Total Loss,Yes,Yes,10,No,0,0,NY,December,1
1590,Auto,72,45831.91,50000,624.5,3,Collision,Multi-Vehicle Collision,Major,No,Yes,4,Yes,0,4,NY,August,1
3464,Commercial,23,3075.55,25000,383.53,3,Theft,Theft,Minor,No,No,6,No,0,0,TX,September,1
3078,Home,73,6093.33,100000,1022.54,3,Collision,Multi-Vehicle Collision,Major,Yes,No,0,Yes,0,4,CA,March,0
1026,Auto,36,171259.85,500000,4199.8,0,Fire,Water Damage,Minor,No,No,1,Yes,0,0,TX,December,1
3466,Auto,54,100677.16,100000,987.33,1,Collision,Single Vehicle Collision,Minor,No,Yes,1,Yes,0,1,NY,October,1
2618,Home,75,12655.63,50000,529.01,3,Collision,Multi-Vehicle Collision,Minor,No,Yes,13,No,0,3,FL,July,1
1134,Home,21,27196.07,100000,1007.45,2,Collision,Multi-Vehicle Collision,Major,No,No,0,No,0,2,TX,September,1
1505,Home,64,19376.11,25000,447.92,1,Collision,Single Vehicle Collision,Minor,No,Yes,5,Yes,0,1,CA,January,0
707,Commercial,78,131544.61,250000,2161.09,0,Theft,Theft,Total Loss,No,No,0,Yes,0,0,TX,October,1
2454,Home,21,11738.42,50000,501.59,1,Collision,Single Vehicle Collision,Minor,Yes,No,0,No,2,1,IL,September,0
2782,Auto,37,43159.89,50000,584.02,1,Collision,Multi-Vehicle Collision,Minor,Yes,No,1,Yes,1,2,CA,July,1
1584,Auto,27,10306.34,50000,675.49,0,Collision,Multi-Vehicle Collision,Total Loss,No,No,7,Yes,0,3,IL,October,0
166,Auto,41,37026.19,100000,1060.6,1,Collision,Single Vehicle Collision,Minor,No,Yes,6,No,0,1,FL,April,0
206,Home,71,8531.18,10000,250.98,2,Collision,Multi-Vehicle Collision,Major,No,No,13,No,0,4,NY,November,1
1986,Auto,52,70622.5,100000,1022.78,1,Collision,Multi-Vehicle Collision,Major,Yes,Yes,11,Yes,0,3,TX,December,1
1000,Home,43,8659.48,25000,430.68,0,Theft,Theft,Total Loss,No,Yes,0,No,3,0,TX,June,0
2322,Home,54,46198.27,100000,1074.52,1,Fire,Fire,Minor,Yes,Yes,7,No,0,0,IL,November,0
820,Commercial,55,31081.79,250000,2122.47,4,Collision,Single Vehicle Collision,Minor,No,Yes,2,No,2,1,IL,November,0
3347,Auto,38,124592.23,250000,2146.56,1,Theft,Theft,Major,No,No,9,Yes,0,0,NY,June,1
460,Commercial,71,3864.33,50000,499.51,1,Collision,Multi-Vehicle Collision,Major,Yes,No,0,Yes,2,4,TX,June,0
3538,Auto,57,8844.96,50000,566.08,1,Collision,Multi-Vehicle Collision,Major,No,Yes,7,Yes,1,4,NY,February,0
1280,Commercial,56,9135.54,25000,453.32,1,Collision,Single Vehicle Collision,Minor,Yes,Yes,0,No,1,1,IL,May,0
1021,Auto,38,30078.93,100000,972.01,1,Collision,Single Vehicle Collision,Minor,No,No,1,No,0,1,IL,July,0
2348,Auto,27,13765.41,25000,334.59,0,Collision,Multi-Vehicle Collision,Major,Yes,No,0,Yes,2,3,CA,June,0
2772,Home,55,11295.91,50000,611.33,0,Fire,Fire,Minor,No,No,0,No,0,0,IL,March,0
342,Auto,63,7857.35,25000,412.62,0,Fire,Fire,Minor,No,No,2,No,3,0,IL,November,0
883,Auto,21,13367.99,25000,349.15,0,Collision,Multi-Vehicle Collision,Minor,No,No,7,No,1,3,NY,December,0
1081,Home,77,6439.22,100000,974.7,0,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,6,No,0,4,CA,May,0
796,Home,74,980.91,10000,287.53,0,Fire,Water Damage,Major,No,No,1,No,4,0,CA,August,1
2269,Home,62,11149.81,100000,1037.3,2,Collision,Multi-Vehicle Collision,Major,No,No,0,Yes,2,4,TX,November,1
768,Home,37,19608.17,50000,567.56,0,Theft,Theft,Minor,No,No,2,No,1,0,FL,May,1
2240,Home,34,1964.13,10000,240.35,0,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,9,No,0,4,TX,December,0
384,Auto,72,19424.01,50000,695.63,0,Collision,Multi-Vehicle Collision,Major,No,No,0,Yes,4,4,TX,October,0
497,Auto,24,4041.22,10000,266.3,1,Collision,Single Vehicle Collision,Minor,No,Yes,3,No,1,1,TX,March,0
3117,Auto,21,3977.05,25000,412.47,0,Fire,Fire,Major,Yes,Yes,0,Yes,1,0,CA,September,0
1185,Commercial,46,15822.47,100000,1032.42,0,Fire,Water Damage,Major,Yes,No,2,Yes,3,0,NY,November,1
2067,Home,31,1806.54,10000,190.66,0,Collision,Single Vehicle Collision,Total Loss,No,Yes,0,Yes,0,1,IL,March,0
69,Auto,20,101887.03,250000,2199.07,2,Theft,Theft,Major,Yes,Yes,0,No,0,0,CA,February,0
2573,Auto,41,7845.14,10000,197.71,3,Collision,Multi-Vehicle Collision,Minor,No,No,0,No,0,3,IL,June,0
1372,Commercial,54,1209.2,25000,393.46,3,Collision,Single Vehicle Collision,Major,No,No,1,Yes,0,1,IL,August,1
1157,Auto,33,88473.38,100000,1068.66,0,Theft,Theft,Minor,No,No,1,No,1,0,FL,June,1
2032,Home,75,32283.68,50000,550.08,1,Collision,Single Vehicle Collision,Minor,No,Yes,4,No,0,1,TX,January,0
2700,Home,72,6120.2,25000,316.68,1,Collision,Multi-Vehicle Collision,Minor,Yes,No,0,No,0,2,FL,August,1
1500,Home,69,33414.52,50000,694.38,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,0,Yes,0,2,TX,January,0
3139,Auto,21,21896.56,25000,342.65,0,Fire,Water Damage,Minor,No,No,0,Yes,0,0,CA,September,1
1167,Commercial,73,28229.22,250000,2125.07,0,Fire,Fire,Minor,No,Yes,9,No,0,0,IL,August,0
1527,Commercial,79,19362.39,50000,680.95,1,Theft,Theft,Major,No,No,4,No,0,0,FL,June,1
2645,Home,41,18649.23,100000,940.68,0,Collision,Single Vehicle Collision,Total Loss,No,Yes,5,No,0,1,CA,February,0
396,Home,51,44024.89,250000,2282.25,0,Theft,Theft,Minor,Yes,No,2,No,1,0,CA,September,0
1703,Commercial,47,17480.33,50000,613.7,0,Collision,Multi-Vehicle Collision,Major,No,Yes,1,No,2,4,TX,August,0
423,Home,35,102632.55,250000,2264.2,1,Fire,Fire,Minor,Yes,No,0,Yes,0,0,IL,April,1
2341,Auto,36,35304.26,50000,609.3,2,Collision,Multi-Vehicle Collision,Total Loss,Yes,Yes,3,No,0,2,TX,February,1
383,Home,48,222320.31,500000,4253.99,1,Collision,Single Vehicle Collision,Minor,Yes,No,3,Yes,0,1,TX,June,0
1801,Home,77,2275.01,10000,234.08,1,Collision,Single Vehicle Collision,Total Loss,No,Yes,10,Yes,0,1,CA,January,0
3566,Auto,77,105527.6,100000,969.32,1,Theft,Theft,Minor,No,Yes,9,Yes,3,0,TX,July,1
2283,Home,36,27655.87,50000,494.22,0,Theft,Theft,Major,No,No,2,No,0,0,NY,January,1
3070,Commercial,66,25990.16,50000,648.59,0,Collision,Multi-Vehicle Collision,Minor,No,No,2,No,0,2,IL,June,0
2093,Commercial,63,35235.77,100000,1020.98,3,Collision,Multi-Vehicle Collision,Minor,No,Yes,0,Yes,0,2,TX,May,0
3104,Auto,36,72607.99,100000,949.63,5,Theft,Theft,Minor,No,Yes,1,Yes,3,0,TX,December,1
2187,Auto,39,4834.46,10000,192.55,1,Collision,Multi-Vehicle Collision,Minor,No,No,11,Yes,0,2,FL,October,0
205,Commercial,41,20911.03,25000,414.09,0,Theft,Theft,Major,No,No,0,No,0,0,IL,March,0
1868,Commercial,62,22293.91,100000,1083.8,0,Fire,Fire,Major,No,Yes,15,No,0,0,IL,June,0
784,Auto,29,41562.74,100000,993.1,0,Collision,Multi-Vehicle Collision,Minor,No,No,3,No,0,2,TX,April,1
2982,Commercial,47,542395.53,500000,4167.08,2,Collision,Multi-Vehicle Collision,Total Loss,No,No,2,No,2,2,NY,December,1
3109,Commercial,75,16560.64,100000,953.15,1,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,0,Yes,0,4,FL,June,0
3124,Home,55,8608.66,500000,4262.47,2,Collision,Single Vehicle Collision,Total Loss,No,Yes,4,Yes,1,1,NY,April,0
507,Home,70,98215.22,100000,961.04,1,Collision,Single Vehicle Collision,Minor,Yes,No,2,No,0,1,TX,January,0
2459,Auto,48,3242.52,25000,381.44,0,Theft,Theft,Total Loss,Yes,No,2,Yes,0,0,IL,May,0
1756,Auto,53,3485.55,25000,452.09,0,Collision,Multi-Vehicle Collision,Minor,No,No,1,Yes,0,4,IL,August,0
809,Auto,36,40972.78,100000,1031.87,0,Collision,Single Vehicle Collision,Major,No,Yes,0,Yes,1,1,NY,June,1
2151,Commercial,65,60370.96,100000,983.35,1,Theft,Theft,Minor,No,Yes,3,No,0,0,CA,October,1
2736,Auto,62,2530.15,10000,245.05,0,Theft,Theft,Major,No,Yes,1,No,0,0,TX,September,0
1900,Auto,53,18407.39,50000,673.28,1,Fire,Fire,Major,No,No,5,Yes,0,0,IL,April,1
2778,Auto,47,202339.92,500000,4144.18,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,5,No,1,4,CA,October,1
1575,Home,72,25611.91,50000,589.49,0,Theft,Theft,Total Loss,No,Yes,1,Yes,2,0,IL,September,0
965,Commercial,66,25827.46,50000,524.71,0,Fire,Water Damage,Total Loss,No,Yes,4,No,2,0,IL,August,0
2665,Auto,72,52502.44,50000,659.44,0,Collision,Multi-Vehicle Collision,Total Loss,No,Yes,1,No,0,3,CA,March,1
1490,Auto,50,27081.23,25000,376.26,1,Collision,Single Vehicle Collision,Total Loss,No,Yes,5,Yes,0,1,NY,June,0
2695,Home,35,18903.2,50000,565.02,0,Collision,Multi-Vehicle Collision,Major,No,Yes,0,No,0,2,TX,April,1
1033,Auto,69,3877.19,50000,633.08,0,Fire,Water Damage,Total Loss,Yes,No,0,No,0,0,CA,January,0
3294,Auto,66,3093.77,10000,208.72,2,Collision,Multi-Vehicle Collision,Total Loss,No,Yes,1,Yes,2,2,CA,September,1
507,Auto,76,29087.77,100000,1031.77,1,Fire,Fire,Minor,Yes,Yes,6,Yes,1,0,IL,April,0
2819,Auto,45,24044.71,50000,581.97,1,Theft,Theft,Major,No,Yes,0,No,1,0,CA,November,0
402,Auto,76,104830.75,250000,2139.74,1,Collision,Single Vehicle Collision,Total Loss,No,Yes,0,Yes,0,1,TX,May,0
875,Auto,64,221577.02,250000,2150.49,2,Collision,Single Vehicle Collision,Major,No,Yes,1,No,2,1,NY,March,0
2847,Auto,28,26103.7,25000,365.79,1,Collision,Single Vehicle Collision,Minor,Yes,Yes,0,No,3,1,NY,April,1
397,Commercial,74,76902.19,100000,977.8,0,Collision,Single Vehicle Collision,Minor,Yes,Yes,6,Yes,0,1,NY,September,0
211,Auto,77,26082.21,50000,540.07,0,Theft,Theft,Major,No,No,3,Yes,0,0,TX,July,0
1043,Home,71,52906.99,250000,2214.73,1,Theft,Theft,Total Loss,Yes,Yes,10,No,0,0,IL,August,0
1886,Home,62,2495.98,25000,338.76,1,Collision,Single Vehicle Collision,Minor,No,Yes,0,Yes,0,1,TX,March,0
3630,Auto,50,70987.34,100000,881.74,1,Theft,Theft,Minor,No,No,1,No,2,0,CA,March,1
2944,Home,34,28423.03,100000,1095.98,2,Collision,Multi-Vehicle Collision,Minor,No,Yes,5,No,0,3,FL,July,0
1489,Auto,23,18975.24,25000,409.9,2,Collision,Multi-Vehicle Collision,Major,No,No,5,No,0,2,FL,August,1
868,Commercial,21,3590.99,25000,500.47,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,1,No,0,4,FL,May,0
2795,Auto,37,70243.37,100000,947.82,0,Collision,Single Vehicle Collision,Major,No,Yes,4,No,0,1,NY,January,0
3317,Auto,65,38592.82,100000,1023.99,0,Fire,Fire,Total Loss,Yes,Yes,7,No,0,0,TX,March,0
568,Auto,64,27434.86,50000,644.73,1,Theft,Theft,Major,No,No,0,No,4,0,TX,May,1
1025,Commercial,44,24615.6,100000,990.53,0,Collision,Single Vehicle Collision,Minor,No,Yes,5,No,0,1,NY,March,0
100,Home,32,29314.0,50000,527.78,0,Collision,Multi-Vehicle Collision,Total Loss,Yes,Yes,1,No,1,4,CA,January,1
1928,Home,23,14897.16,100000,986.78,0,Collision,Multi-Vehicle Collision,Major,Yes,Yes,13,No,1,3,FL,July,0
1762,Auto,64,1846.56,25000,431.32,0,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,3,Yes,0,4,FL,January,1
2537,Home,31,86151.39,250000,2229.41,0,Theft,Theft,Minor,No,No,0,No,3,0,NY,October,0
3483,Auto,77,20379.79,25000,399.92,0,Fire,Water Damage,Major,No,Yes,2,Yes,0,0,FL,June,1
2283,Commercial,28,15823.51,50000,644.86,1,Theft,Theft,Major,No,No,15,Yes,1,0,IL,June,1
2801,Auto,56,9168.55,10000,322.5,0,Collision,Multi-Vehicle Collision,Total Loss,No,Yes,5,Yes,1,3,TX,July,1
1683,Auto,26,22688.08,25000,373.82,0,Collision,Multi-Vehicle Collision,Minor,No,No,1,No,0,4,FL,December,1
3247,Auto,43,8974.81,50000,523.98,2,Collision,Multi-Vehicle Collision,Minor,No,Yes,3,Yes,0,2,FL,November,1
545,Auto,33,26179.64,25000,409.52,2,Collision,Multi-Vehicle Collision,Minor,No,No,4,No,1,4,IL,January,1
1064,Home,22,82385.33,250000,2162.67,0,Collision,Multi-Vehicle Collision,Major,No,Yes,0,No,0,3,CA,November,0
2577,Auto,74,2800.43,10000,287.19,0,Collision,Multi-Vehicle Collision,Major,No,No,0,Yes,0,2,CA,March,1
1188,Home,69,20780.43,50000,667.28,1,Collision,Multi-Vehicle Collision,Minor,No,No,3,No,1,3,IL,December,0
1727,Auto,78,21938.63,50000,621.87,0,Theft,Theft,Minor,No,Yes,2,No,1,0,CA,September,1
3319,Home,27,3772.2,10000,344.81,0,Theft,Theft,Total Loss,Yes,No,0,No,0,0,NY,February,0
3162,Auto,67,4767.83,25000,349.43,0,Collision,Multi-Vehicle Collision,Total Loss,No,No,6,Yes,0,2,IL,May,0
1824,Auto,20,27513.2,50000,654.37,0,Theft,Theft,Minor,Yes,No,3,Yes,0,0,TX,March,0
2630,Home,30,52022.22,50000,683.83,1,Collision,Single Vehicle Collision,Major,Yes,Yes,1,No,0,1,TX,December,1
2734,Auto,60,12991.16,50000,603.22,2,Collision,Multi-Vehicle Collision,Major,No,Yes,0,Yes,0,2,TX,December,0
2609,Auto,66,8041.54,50000,716.1,1,Theft,Theft,Minor,No,No,4,Yes,3,0,FL,May,0
1602,Commercial,47,47870.48,50000,557.13,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,4,Yes,0,4,IL,July,1
3065,Commercial,79,697.45,10000,248.06,0,Fire,Water Damage,Minor,No,Yes,4,No,0,0,IL,January,0
2698,Auto,71,6024.05,50000,632.5,1,Collision,Single Vehicle Collision,Minor,No,No,1,Yes,1,1,CA,March,0
800,Auto,62,108362.8,500000,4202.72,0,Collision,Single Vehicle Collision,Major,No,Yes,4,No,0,1,IL,November,1
1056,Home,23,21874.2,50000,562.85,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,10,No,0,4,IL,June,0
1648,Auto,34,89123.88,100000,1030.96,1,Theft,Theft,Minor,No,Yes,1,No,1,0,CA,July,1
3632,Auto,76,6340.96,50000,617.78,2,Theft,Theft,Major,Yes,No,1,Yes,1,0,IL,October,1
1368,Auto,62,34997.12,100000,970.69,0,Theft,Theft,Minor,No,No,6,No,1,0,IL,March,0
1986,Home,68,104449.34,100000,1009.45,2,Theft,Theft,Major,No,No,0,Yes,1,0,NY,April,1
1359,Home,70,14251.32,50000,637.95,0,Collision,Multi-Vehicle Collision,Minor,Yes,No,1,Yes,0,2,CA,June,0
1668,Auto,36,125888.72,500000,4169.58,0,Collision,Single Vehicle Collision,Minor,No,Yes,0,Yes,2,1,NY,May,0
1534,Auto,59,6571.84,25000,425.85,0,Theft,Theft,Total Loss,Yes,Yes,1,Yes,0,0,FL,November,0
2043,Auto,52,2574.47,10000,236.65,1,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,2,No,0,4,CA,September,0
3424,Home,63,95238.82,100000,966.31,2,Fire,Water Damage,Major,No,Yes,0,No,0,0,IL,December,1
1501,Auto,43,72967.58,250000,2255.58,1,Collision,Single Vehicle Collision,Minor,No,Yes,9,No,0,1,IL,January,1
3307,Auto,68,3886.4,25000,430.69,0,Collision,Multi-Vehicle Collision,Total Loss,No,No,3,Yes,0,4,NY,May,1
2242,Home,22,19948.4,25000,305.66,0,Collision,Single Vehicle Collision,Major,No,No,3,No,0,1,NY,November,0
3301,Auto,46,3553.41,10000,261.29,1,Fire,Fire,Minor,No,Yes,2,Yes,0,0,FL,January,0
1413,Home,54,12986.7,25000,424.48,0,Fire,Fire,Major,No,No,4,No,0,0,FL,August,1
1405,Auto,37,6500.97,100000,1006.94,0,Collision,Multi-Vehicle Collision,Minor,No,No,2,Yes,1,3,IL,July,0
1311,Auto,66,8083.12,50000,630.91,3,Collision,Multi-Vehicle Collision,Total Loss,Yes,No,6,No,1,4,TX,May,1
