policy_age_days,policy_type,customer_age,claim_amount,insured_amount,premium_amount,previous_claims,claim_type,incident_type,incident_severity,witness_present,police_report,claim_submission_delay,property_damage,bodily_injuries,vehicles_involved,state,claim_month,fraud_reported
1807,Auto,36,6790.16,25000,421.3,2,Theft,Theft,Minor,No,Yes,7,No,1,0,FL,July,0
3271,Auto,59,27154.42,25000,358.72,3,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,3,No,0,2,CA,June,1
3403,Commercial,58,24617.63,50000,496.26,0,Theft,Theft,Minor,Yes,Yes,8,No,3,0,NY,May,0
881,Home,56,7381.38,10000,201.51,0,Theft,Theft,Major,No,Yes,8,No,0,0,CA,July,0
3127,Commercial,70,15739.72,50000,594.16,3,Collision,Single Vehicle Collision,Total Loss,No,Yes,18,No,1,1,IL,September,1
3149,Auto,76,107123.93,250000,2216.35,0,Theft,Theft,Major,Yes,Yes,10,Yes,0,0,IL,September,0
646,Auto,45,40457.18,250000,2120.95,2,Fire,Fire,Minor,No,Yes,6,No,0,0,FL,October,0
2110,Auto,38,10459.4,100000,974.42,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,2,Yes,0,4,CA,January,0
3104,Auto,36,72607.99,100000,949.63,5,Theft,Theft,Minor,No,Yes,1,Yes,3,0,TX,December,1
838,Home,51,12719.84,25000,347.78,0,Collision,Multi-Vehicle Collision,Minor,Yes,No,5,No,1,2,FL,September,0
1054,Home,30,54571.57,50000,571.55,1,Fire,Fire,Total Loss,Yes,Yes,5,Yes,1,0,NY,March,1
16,Home,31,11753.34,50000,491.27,0,Collision,Single Vehicle Collision,Major,No,Yes,9,No,1,1,IL,March,1
1146,Home,40,3394.82,10000,337.52,0,Collision,Single Vehicle Collision,Minor,No,No,8,No,3,1,CA,May,0
1299,Auto,19,26490.39,100000,1024.24,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,8,No,0,3,FL,December,0
2210,Home,76,24151.54,100000,957.6,0,Collision,Multi-Vehicle Collision,Major,No,No,11,No,1,3,IL,March,1
3491,Auto,42,5552.79,10000,329.66,1,Theft,Theft,Minor,Yes,Yes,2,No,1,0,FL,October,0
638,Auto,57,2815.13,50000,610.68,4,Collision,Multi-Vehicle Collision,Major,No,Yes,8,Yes,4,2,IL,March,0
542,Commercial,60,97814.33,250000,2270.36,1,Collision,Multi-Vehicle Collision,Major,Yes,No,8,Yes,4,3,TX,May,0
638,Commercial,35,11279.07,25000,396.3,1,Collision,Multi-Vehicle Collision,Total Loss,No,Yes,7,No,0,2,TX,April,0
2258,Home,33,14161.33,50000,675.2,0,Fire,Water Damage,Minor,No,Yes,6,No,0,0,IL,June,0
2283,Home,36,27655.87,50000,494.22,0,Theft,Theft,Major,No,No,2,No,0,0,NY,January,1
253,Auto,37,37151.23,50000,541.2,0,Theft,Theft,Minor,Yes,Yes,0,No,1,0,NY,July,1
2460,Commercial,23,33170.16,100000,1069.04,0,Theft,Theft,Major,No,Yes,0,No,1,0,TX,October,0
460,Home,52,20181.14,50000,547.02,0,Fire,Fire,Major,No,Yes,3,No,0,0,TX,June,0
2391,Commercial,20,6232.63,25000,441.1,0,Theft,Theft,Minor,Yes,Yes,17,Yes,1,0,CA,September,1
457,Auto,72,51547.68,50000,681.44,0,Collision,Multi-Vehicle Collision,Major,No,No,1,Yes,1,4,NY,December,1
2751,Home,56,4884.2,25000,330.23,0,Collision,Single Vehicle Collision,Major,Yes,Yes,1,No,0,1,NY,April,0
3152,Auto,78,18181.03,100000,1022.56,0,Fire,Fire,Total Loss,Yes,Yes,1,No,0,0,IL,September,0
1374,Home,45,155025.68,500000,4202.85,0,Collision,Multi-Vehicle Collision,Major,No,Yes,13,No,0,2,TX,April,1
2525,Auto,68,86650.44,100000,1009.54,0,Theft,Theft,Major,No,No,4,Yes,0,0,NY,March,1
3330,Auto,52,102441.71,500000,4249.5,2,Theft,Theft,Minor,No,No,0,Yes,0,0,CA,August,0
1936,Auto,31,103122.38,100000,1002.65,1,Theft,Theft,Minor,No,Yes,5,No,0,0,NY,January,1
1622,Auto,36,151004.71,250000,2220.09,1,Collision,Multi-Vehicle Collision,Major,Yes,Yes,9,No,0,4,FL,June,0
2847,Commercial,24,9428.92,10000,273.96,2,Collision,Multi-Vehicle Collision,Major,No,Yes,1,No,0,4,CA,August,0
3491,Auto,63,4365.73,25000,443.62,0,Collision,Multi-Vehicle Collision,Minor,Yes,No,0,No,0,3,IL,April,0
2680,Home,27,5027.63,50000,593.37,0,Collision,Multi-Vehicle Collision,Major,No,Yes,4,Yes,0,4,IL,April,0
41,Home,58,52816.54,50000,671.74,3,Collision,Single Vehicle Collision,Major,No,No,2,No,0,1,FL,February,1
298,Home,75,30209.27,250000,2180.93,5,Theft,Theft,Major,No,Yes,9,No,0,0,IL,October,0
3124,Home,55,8608.66,500000,4262.47,2,Collision,Single Vehicle Collision,Total Loss,No,Yes,4,Yes,1,1,NY,April,0
1171,Auto,38,37157.12,50000,581.2,0,Collision,Multi-Vehicle Collision,Major,No,Yes,5,Yes,3,4,NY,March,0
1669,Commercial,68,22671.78,50000,516.39,0,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,8,Yes,1,4,TX,January,0
689,Auto,41,29184.69,100000,1095.78,1,Theft,Theft,Minor,No,Yes,3,No,1,0,FL,May,0
3224,Auto,74,110765.44,500000,4196.6,0,Collision,Single Vehicle Collision,Total Loss,Yes,No,2,No,1,1,IL,January,1
1222,Home,45,2313.6,10000,195.67,2,Theft,Theft,Minor,No,No,5,No,0,0,NY,May,0
3566,Auto,77,105527.6,100000,969.32,1,Theft,Theft,Minor,No,Yes,9,Yes,3,0,TX,July,1
1989,Commercial,49,5017.06,50000,524.63,2,Collision,Multi-Vehicle Collision,Major,No,Yes,9,Yes,3,4,TX,February,0
2864,Home,45,2404.29,50000,601.83,2,Collision,Single Vehicle Collision,Minor,Yes,Yes,1,Yes,0,1,NY,May,0
3396,Commercial,75,8568.06,25000,381.87,1,Fire,Fire,Major,No,Yes,2,No,4,0,IL,June,0
2788,Home,29,27381.27,100000,1025.01,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,0,No,0,2,NY,August,0
2779,Auto,45,14942.46,50000,617.01,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,1,No,1,4,IL,November,0
722,Auto,28,24309.29,25000,431.45,1,Collision,Multi-Vehicle Collision,Minor,Yes,No,2,Yes,1,2,NY,November,1
3175,Home,61,7134.6,10000,288.74,1,Theft,Theft,Minor,No,Yes,9,Yes,2,0,FL,September,0
2665,Commercial,73,2079.33,10000,225.14,2,Collision,Multi-Vehicle Collision,Minor,No,Yes,4,No,0,2,IL,April,0
3065,Commercial,79,697.45,10000,248.06,0,Fire,Water Damage,Minor,No,Yes,4,No,0,0,IL,January,0
457,Auto,20,22051.52,50000,611.43,2,Fire,Water Damage,Major,No,No,0,No,1,0,FL,March,0
2147,Auto,52,4616.59,100000,920.03,1,Fire,Fire,Minor,No,No,4,Yes,0,0,NY,September,0
2935,Auto,64,3451.59,25000,323.15,0,Theft,Theft,Major,No,Yes,1,No,0,0,NY,October,0
51,Auto,28,3419.2,10000,277.37,3,Fire,Water Damage,Major,No,No,0,No,2,0,NY,August,1
2965,Auto,57,289.06,25000,449.74,0,Theft,Theft,Minor,No,No,1,No,0,0,IL,April,0
1374,Commercial,43,23337.94,50000,588.57,1,Fire,Fire,Major,No,No,3,No,0,0,CA,June,0
820,Commercial,55,31081.79,250000,2122.47,4,Collision,Single Vehicle Collision,Minor,No,Yes,2,No,2,1,IL,November,0
718,Home,44,4179.9,50000,619.5,0,Collision,Multi-Vehicle Collision,Major,No,No,6,Yes,4,2,TX,April,1
1979,Home,38,17632.75,25000,364.75,0,Collision,Single Vehicle Collision,Minor,Yes,No,0,No,1,1,CA,May,0
3064,Auto,25,30627.42,100000,1027.33,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,1,No,0,3,NY,August,0
2752,Auto,22,113625.72,250000,2185.57,1,Fire,Fire,Minor,No,Yes,1,No,1,0,CA,October,0
855,Home,38,21657.34,25000,406.78,1,Collision,Multi-Vehicle Collision,Minor,No,No,1,No,1,2,FL,July,1
551,Home,69,48379.07,50000,552.24,0,Collision,Multi-Vehicle Collision,Minor,Yes,No,1,No,0,2,FL,January,0
1692,Commercial,28,12269.43,25000,385.67,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,1,No,1,3,FL,April,0
2819,Commercial,28,8392.12,10000,273.16,0,Theft,Theft,Total Loss,No,No,1,Yes,1,0,FL,September,0
507,Auto,76,29087.77,100000,1031.77,1,Fire,Fire,Minor,Yes,Yes,6,Yes,1,0,IL,April,0
1081,Home,77,6439.22,100000,974.7,0,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,6,No,0,4,CA,May,0
672,Auto,29,15951.55,50000,675.97,4,Fire,Fire,Minor,No,Yes,8,No,1,0,CA,April,0
2854,Auto,28,59697.75,500000,4169.31,0,Fire,Fire,Major,No,Yes,4,Yes,3,0,TX,March,0
185,Auto,77,21648.93,100000,901.15,1,Theft,Theft,Major,No,Yes,1,Yes,2,0,IL,May,0
1261,Auto,58,15546.6,25000,384.54,1,Collision,Multi-Vehicle Collision,Minor,No,No,19,No,3,2,CA,May,1
1964,Home,20,33957.77,50000,693.15,1,Fire,Fire,Major,No,No,0,No,0,0,NY,July,1
3109,Auto,63,20185.11,50000,622.17,0,Collision,Single Vehicle Collision,Minor,No,Yes,3,Yes,2,1,CA,December,0
1188,Home,69,20780.43,50000,667.28,1,Collision,Multi-Vehicle Collision,Minor,No,No,3,No,1,3,IL,December,0
3359,Auto,57,93306.34,250000,2215.45,0,Collision,Multi-Vehicle Collision,Minor,No,No,21,No,0,2,NY,October,0
2549,Commercial,25,47817.79,250000,2189.55,1,Collision,Single Vehicle Collision,Major,No,Yes,7,Yes,0,1,FL,August,1
2081,Commercial,39,8444.75,50000,552.27,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,1,No,2,4,TX,August,0
2266,Auto,62,1894.18,25000,422.65,1,Collision,Multi-Vehicle Collision,Major,No,Yes,8,No,1,2,TX,February,0
507,Home,70,98215.22,100000,961.04,1,Collision,Single Vehicle Collision,Minor,Yes,No,2,No,0,1,TX,January,0
1160,Auto,40,626.13,25000,425.33,1,Fire,Fire,Minor,Yes,No,1,No,0,0,CA,May,0
3266,Home,72,26180.41,50000,570.74,2,Fire,Water Damage,Total Loss,No,Yes,4,Yes,2,0,CA,April,0
1214,Auto,25,4895.84,25000,450.24,0,Collision,Multi-Vehicle Collision,Total Loss,Yes,Yes,0,Yes,1,2,CA,August,1
859,Home,72,20556.6,100000,938.29,1,Collision,Single Vehicle Collision,Minor,No,Yes,8,No,0,1,FL,February,0
2440,Auto,30,8078.19,25000,379.07,0,Collision,Multi-Vehicle Collision,Minor,No,No,4,Yes,2,3,FL,June,1
1021,Auto,38,30078.93,100000,972.01,1,Collision,Single Vehicle Collision,Minor,No,No,1,No,0,1,IL,July,0
1505,Home,49,8276.41,100000,1053.07,0,Collision,Single Vehicle Collision,Major,No,No,5,Yes,2,1,CA,May,0
1433,Auto,59,11362.85,50000,627.93,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,1,Yes,0,3,IL,March,0
2787,Auto,63,42781.71,100000,932.53,2,Collision,Multi-Vehicle Collision,Major,No,Yes,3,No,0,2,NY,June,1
2496,Home,79,1164.62,10000,239.71,4,Collision,Multi-Vehicle Collision,Minor,Yes,No,2,No,0,4,IL,February,1
2455,Home,59,8802.18,25000,376.4,1,Collision,Multi-Vehicle Collision,Major,Yes,Yes,1,No,2,3,TX,March,0
3162,Auto,57,90257.89,250000,2175.94,2,Collision,Multi-Vehicle Collision,Major,No,Yes,5,No,0,2,FL,January,0
1245,Auto,74,122517.08,250000,2238.54,0,Collision,Multi-Vehicle Collision,Major,No,Yes,1,Yes,0,2,FL,May,0
1640,Commercial,32,8535.43,25000,440.49,1,Fire,Water Damage,Minor,No,Yes,9,No,0,0,NY,December,1
1951,Commercial,47,44736.14,50000,579.28,2,Collision,Multi-Vehicle Collision,Minor,No,No,5,No,1,2,TX,November,1
2640,Commercial,36,232828.86,250000,2141.02,2,Collision,Single Vehicle Collision,Total Loss,Yes,Yes,1,Yes,1,1,IL,April,1
1248,Auto,64,2466.6,25000,342.77,1,Theft,Theft,Total Loss,No,No,0,No,4,0,FL,October,0
881,Auto,36,109614.97,100000,1076.98,0,Collision,Single Vehicle Collision,Major,No,Yes,0,No,1,1,IL,June,1
1533,Commercial,38,1523.26,100000,1073.86,1,Collision,Single Vehicle Collision,Major,Yes,No,0,No,0,1,NY,September,1
1444,Auto,23,24810.17,50000,700.44,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,1,No,2,3,NY,May,0
1223,Commercial,37,3175.2,25000,420.01,3,Fire,Fire,Major,No,Yes,0,No,2,0,TX,August,0
151,Auto,31,32946.05,100000,952.79,0,Fire,Fire,Major,No,Yes,1,Yes,2,0,IL,May,0
1262,Auto,18,8377.44,50000,605.0,0,Theft,Theft,Major,No,No,4,Yes,1,0,NY,March,1
858,Commercial,75,8870.79,25000,464.44,1,Collision,Single Vehicle Collision,Total Loss,No,Yes,10,No,0,1,IL,March,0
1484,Auto,79,6140.54,10000,252.56,0,Theft,Theft,Major,No,Yes,13,No,0,0,NY,June,0
3182,Auto,60,1875.26,10000,236.08,1,Collision,Single Vehicle Collision,Major,Yes,Yes,2,No,0,1,IL,July,0
254,Home,70,55807.26,100000,1043.66,1,Collision,Multi-Vehicle Collision,Total Loss,No,No,5,No,1,4,CA,May,1
3056,Auto,26,52882.15,50000,663.41,2,Fire,Fire,Minor,Yes,Yes,0,Yes,1,0,IL,October,1
980,Home,20,8593.48,25000,359.65,0,Theft,Theft,Minor,Yes,Yes,1,Yes,0,0,CA,September,0
2816,Auto,65,79099.64,100000,1064.79,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,11,Yes,1,2,IL,September,0
567,Commercial,59,59977.54,100000,1009.79,0,Collision,Single Vehicle Collision,Minor,No,No,8,No,0,1,FL,April,1
3586,Auto,41,374661.16,500000,4170.14,0,Theft,Theft,Total Loss,No,Yes,0,Yes,1,0,IL,September,0
1653,Commercial,27,4644.61,25000,408.65,2,Theft,Theft,Total Loss,No,No,4,Yes,0,0,FL,June,1
3004,Commercial,41,4076.67,25000,382.76,2,Fire,Fire,Minor,No,Yes,3,No,3,0,TX,November,0
545,Auto,33,26179.64,25000,409.52,2,Collision,Multi-Vehicle Collision,Minor,No,No,4,No,1,4,IL,January,1
2916,Home,54,1872.32,25000,384.29,0,Collision,Single Vehicle Collision,Major,No,No,4,Yes,0,1,NY,September,0
3441,Auto,31,33334.09,100000,1000.99,0,Theft,Theft,Minor,No,Yes,2,No,0,0,IL,June,1
1033,Home,59,68929.24,100000,1085.58,1,Collision,Multi-Vehicle Collision,Minor,No,No,1,Yes,3,3,CA,May,0
1395,Commercial,65,14512.9,100000,890.28,0,Fire,Fire,Minor,Yes,Yes,2,Yes,1,0,IL,June,0
1924,Home,78,15099.13,250000,2176.67,2,Fire,Fire,Total Loss,Yes,No,13,No,0,0,FL,October,1
2562,Home,19,14059.18,25000,390.06,0,Theft,Theft,Major,No,Yes,6,Yes,0,0,TX,March,0
774,Home,78,71546.78,250000,2228.91,1,Fire,Water Damage,Total Loss,Yes,No,1,Yes,1,0,TX,February,0
191,Home,49,93577.18,250000,2224.41,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,6,No,0,2,IL,October,1
2061,Auto,45,4686.61,25000,353.71,0,Collision,Single Vehicle Collision,Minor,Yes,Yes,0,Yes,0,1,CA,July,0
1489,Home,37,102143.41,250000,2244.38,0,Theft,Theft,Minor,Yes,No,1,No,1,0,TX,May,0
2003,Auto,53,4557.68,25000,421.27,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,5,No,2,3,IL,May,0
1389,Auto,37,11099.01,50000,679.94,2,Collision,Multi-Vehicle Collision,Major,No,No,1,No,1,4,CA,November,1
2204,Commercial,51,51188.25,100000,1039.95,0,Collision,Single Vehicle Collision,Major,No,No,3,No,2,1,IL,March,1
2001,Auto,78,7707.17,100000,1027.72,1,Theft,Theft,Minor,No,No,4,Yes,0,0,IL,December,0
1353,Auto,35,8373.43,100000,972.83,2,Fire,Fire,Minor,No,Yes,1,No,0,0,IL,February,0
582,Auto,71,107416.24,250000,2205.36,0,Theft,Theft,Minor,No,Yes,0,No,3,0,FL,January,1
3402,Auto,73,10722.86,25000,395.64,1,Collision,Single Vehicle Collision,Major,No,Yes,0,No,0,1,IL,June,0
2744,Auto,58,8009.53,25000,361.68,1,Fire,Fire,Minor,No,Yes,0,Yes,0,0,TX,May,1
3073,Auto,73,44459.62,50000,643.04,1,Collision,Single Vehicle Collision,Total Loss,No,Yes,1,Yes,0,1,NY,June,1
3353,Auto,31,25680.18,100000,1055.13,0,Collision,Multi-Vehicle Collision,Minor,Yes,No,1,Yes,0,4,FL,June,0
1868,Commercial,62,22293.91,100000,1083.8,0,Fire,Fire,Major,No,Yes,15,No,0,0,IL,June,0
2686,Auto,32,550.14,10000,278.23,1,Fire,Fire,Major,No,Yes,0,No,0,0,TX,December,0
1024,Auto,35,31007.84,250000,2162.94,1,Collision,Multi-Vehicle Collision,Minor,No,No,1,Yes,0,3,FL,August,0
517,Auto,75,40252.68,100000,1006.32,1,Collision,Single Vehicle Collision,Minor,Yes,No,1,Yes,1,1,IL,December,0
2728,Auto,43,17366.03,50000,671.26,1,Theft,Theft,Minor,No,Yes,17,Yes,0,0,IL,December,0
471,Commercial,67,31533.61,500000,4131.28,0,Collision,Multi-Vehicle Collision,Minor,No,No,6,Yes,2,2,FL,April,0
384,Auto,72,19424.01,50000,695.63,0,Collision,Multi-Vehicle Collision,Major,No,No,0,Yes,4,4,TX,October,0
2196,Commercial,67,25308.84,50000,612.55,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,8,No,0,3,TX,June,0
2450,Commercial,40,26592.48,100000,922.78,0,Collision,Single Vehicle Collision,Major,Yes,Yes,8,No,0,1,FL,July,0
1858,Auto,50,34018.73,100000,998.24,2,Collision,Single Vehicle Collision,Minor,No,Yes,9,No,0,1,TX,November,0
2305,Auto,54,3154.03,25000,436.16,0,Collision,Single Vehicle Collision,Major,No,Yes,0,Yes,0,1,CA,November,1
820,Auto,68,94189.87,250000,2176.73,3,Collision,Multi-Vehicle Collision,Total Loss,No,Yes,1,Yes,0,4,TX,May,1
2185,Commercial,44,4495.95,50000,560.2,1,Collision,Multi-Vehicle Collision,Major,No,Yes,7,Yes,1,2,IL,January,0
1296,Auto,31,43322.37,50000,624.79,1,Collision,Multi-Vehicle Collision,Major,No,Yes,8,No,0,2,NY,July,1
689,Auto,66,9955.04,50000,591.6,1,Collision,Multi-Vehicle Collision,Major,No,Yes,1,No,0,2,NY,August,0
600,Auto,19,119735.51,250000,2118.57,0,Fire,Water Damage,Major,Yes,Yes,0,No,0,0,FL,April,0
1050,Auto,38,37580.08,50000,634.59,0,Collision,Multi-Vehicle Collision,Major,No,Yes,0,Yes,4,2,IL,June,1
2240,Home,34,1964.13,10000,240.35,0,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,9,No,0,4,TX,December,0
1487,Commercial,68,49847.63,100000,1003.9,0,Collision,Multi-Vehicle Collision,Minor,No,No,1,Yes,3,2,IL,January,0
1287,Auto,23,38279.62,100000,1034.75,1,Collision,Multi-Vehicle Collision,Total Loss,No,Yes,3,No,1,2,NY,February,0
621,Commercial,24,4703.46,10000,265.21,0,Collision,Single Vehicle Collision,Major,Yes,Yes,13,Yes,2,1,TX,February,0
977,Commercial,22,8736.75,10000,271.84,0,Fire,Water Damage,Minor,No,Yes,3,No,0,0,FL,September,1
2537,Home,31,86151.39,250000,2229.41,0,Theft,Theft,Minor,No,No,0,No,3,0,NY,October,0
976,Auto,62,15244.53,50000,511.58,0,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,7,No,1,3,FL,July,0
509,Auto,63,47562.91,100000,996.01,0,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,2,No,0,2,NY,March,0
3466,Auto,54,100677.16,100000,987.33,1,Collision,Single Vehicle Collision,Minor,No,Yes,1,Yes,0,1,NY,October,1
3101,Auto,70,22399.32,25000,491.28,1,Collision,Single Vehicle Collision,Major,No,Yes,0,Yes,1,1,TX,June,1
67,Auto,26,2994.49,10000,292.99,0,Collision,Single Vehicle Collision,Total Loss,Yes,No,0,Yes,0,1,CA,June,1
3055,Commercial,79,5452.97,100000,993.82,1,Fire,Fire,Minor,No,No,3,No,1,0,NY,February,0
3272,Home,31,47824.36,250000,2159.0,0,Fire,Fire,Major,No,No,2,No,0,0,FL,June,1
2875,Home,20,23682.54,50000,684.32,0,Theft,Theft,Minor,Yes,No,7,Yes,1,0,TX,June,1
877,Auto,76,216809.42,500000,4251.64,0,Collision,Single Vehicle Collision,Total Loss,No,Yes,0,No,0,1,FL,September,1
2906,Home,20,32205.32,50000,654.27,0,Collision,Multi-Vehicle Collision,Minor,No,Yes,3,Yes,0,3,NY,October,0
2936,Auto,61,15924.74,100000,1139.51,0,Theft,Theft,Minor,No,Yes,3,No,0,0,CA,March,1
1311,Auto,66,8083.12,50000,630.91,3,Collision,Multi-Vehicle Collision,Total Loss,Yes,No,6,No,1,4,TX,May,1
3385,Home,54,113749.11,250000,2211.38,1,Collision,Single Vehicle Collision,Minor,No,Yes,6,No,1,1,TX,November,0
3463,Commercial,53,26512.24,50000,673.52,0,Collision,Single Vehicle Collision,Major,No,No,6,No,0,1,CA,December,1
3639,Auto,64,6289.52,25000,470.66,0,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,0,No,2,3,NY,September,0
1177,Home,79,3286.32,25000,443.99,1,Collision,Single Vehicle Collision,Major,Yes,Yes,12,Yes,0,1,NY,April,0
1001,Auto,52,20438.6,50000,613.09,0,Fire,Fire,Minor,No,Yes,3,Yes,1,0,NY,November,1
1703,Commercial,47,17480.33,50000,613.7,0,Collision,Multi-Vehicle Collision,Major,No,Yes,1,No,2,4,TX,August,0
1174,Auto,71,192743.17,250000,2163.6,0,Theft,Theft,Minor,No,Yes,3,Yes,1,0,IL,August,0
3381,Auto,56,3017.42,25000,392.9,1,Theft,Theft,Minor,Yes,Yes,4,Yes,0,0,NY,October,0
3498,Home,41,34976.11,250000,2154.99,1,Collision,Multi-Vehicle Collision,Total Loss,Yes,No,2,Yes,0,2,FL,January,0
1575,Home,72,25611.91,50000,589.49,0,Theft,Theft,Total Loss,No,Yes,1,Yes,2,0,IL,September,0
767,Home,32,13504.84,250000,2270.6,1,Collision,Multi-Vehicle Collision,Minor,Yes,No,1,No,3,3,CA,October,0
1739,Auto,75,21431.98,100000,1054.24,3,Fire,Fire,Major,No,No,1,No,0,0,NY,September,1
2698,Auto,71,6024.05,50000,632.5,1,Collision,Single Vehicle Collision,Minor,No,No,1,Yes,1,1,CA,March,0
2739,Auto,52,15305.6,100000,1008.66,0,Collision,Multi-Vehicle Collision,Minor,Yes,Yes,6,Yes,0,3,IL,January,0
3632,Auto,42,30514.88,100000,1005.92,0,Theft,Theft,Major,No,No,0,No,1,0,FL,January,0
1546,Home,37,32434.83,100000,1082.27,1,Collision,Multi-Vehicle Collision,Major,Yes,Yes,3,Yes,0,4,FL,August,0
1359,Home,70,14251.32,50000,637.95,0,Collision,Multi-Vehicle Collision,Minor,Yes,No,1,Yes,0,2,CA,June,0
3469,Home,69,11036.4,50000,569.99,0,Fire,Fire,Total Loss,Yes,Yes,16,No,1,0,TX,October,1
1666,Home,33,16764.4,50000,701.02,3,Theft,Theft,Minor,No,Yes,0,No,0,0,CA,May,1
3382,Auto,61,142071.1,500000,4216.12,2,Theft,Theft,Total Loss,No,No,6,No,0,0,NY,March,0
2205,Auto,33,1722.06,10000,260.62,0,Theft,Theft,Major,No,No,8,No,1,0,IL,May,1
752,Home,64,23155.04,50000,646.08,1,Fire,Fire,Minor,No,Yes,8,Yes,1,0,FL,January,0
2087,Auto,74,145424.43,250000,2246.89,1,Collision,Multi-Vehicle Collision,Minor,No,Yes,5,No,1,3,TX,March,1
103,Auto,51,10054.93,25000,352.99,1,Theft,Theft,Major,No,No,1,No,2,0,NY,December,1
401,Home,39,32416.34,50000,581.72,1,Theft,Theft,Major,Yes,Yes,5,No,0,0,IL,October,0
2772,Home,55,11295.91,50000,611.33,0,Fire,Fire,Minor,No,No,0,No,0,0,IL,March,0
130,Home,25,7614.52,50000,723.56,1,Collision,Multi-Vehicle Collision,Major,No,Yes,12,No,1,4,TX,June,0
3095,Home,73,1486.36,25000,389.08,0,Theft,Theft,Minor,No,Yes,1,No,0,0,CA,May,0
1070,Auto,18,9028.64,25000,369.71,0,Fire,Fire,Major,No,Yes,0,Yes,2,0,TX,December,0
3630,Auto,22,21948.65,50000,621.54,0,Collision,Single Vehicle Collision,Minor,No,No,1,No,0,1,TX,October,0
108,Commercial,19,24416.64,100000,1087.91,1,Collision,Single Vehicle Collision,Major,Yes,Yes,6,No,1,1,FL,July,0
3007,Home,24,82182.35,500000,4220.26,1,Theft,Theft,Total Loss,Yes,Yes,3,Yes,0,0,NY,April,0
